[s],CH1[V]
5.54976E-01,1.600E-03
5.55016E-01,2.000E-03
5.55056E-01,1.600E-03
5.55096E-01,2.000E-03
5.55136E-01,1.200E-03
5.55176E-01,1.600E-03
5.55216E-01,1.600E-03
5.55256E-01,1.600E-03
5.55296E-01,1.600E-03
5.55336E-01,1.600E-03
5.55376E-01,1.600E-03
5.55416E-01,1.600E-03
5.55456E-01,2.400E-03
5.55496E-01,1.600E-03
5.55536E-01,2.000E-03
5.55576E-01,1.600E-03
5.55616E-01,1.600E-03
5.55656E-01,2.000E-03
5.55696E-01,1.200E-03
5.55736E-01,2.000E-03
5.55776E-01,8.000E-04
5.55816E-01,2.000E-03
5.55856E-01,2.000E-03
5.55896E-01,1.600E-03
5.55936E-01,1.600E-03
5.55976E-01,2.400E-03
5.56016E-01,1.600E-03
5.56056E-01,1.600E-03
5.56096E-01,1.200E-03
5.56136E-01,1.200E-03
5.56176E-01,1.600E-03
5.56216E-01,1.200E-03
5.56256E-01,1.600E-03
5.56296E-01,1.200E-03
5.56336E-01,1.600E-03
5.56376E-01,1.200E-03
5.56416E-01,1.600E-03
5.56456E-01,1.200E-03
5.56496E-01,1.600E-03
5.56536E-01,1.600E-03
5.56576E-01,1.200E-03
5.56617E-01,1.600E-03
5.56657E-01,1.200E-03
5.56697E-01,2.000E-03
5.56737E-01,1.600E-03
5.56777E-01,1.600E-03
5.56817E-01,1.600E-03
5.56857E-01,1.600E-03
5.56897E-01,1.600E-03
5.56937E-01,1.600E-03
5.56977E-01,8.000E-04
5.57017E-01,1.600E-03
5.57057E-01,1.600E-03
5.57097E-01,1.600E-03
5.57137E-01,8.000E-04
5.57177E-01,1.600E-03
5.57217E-01,2.000E-03
5.57257E-01,1.600E-03
5.57297E-01,1.200E-03
5.57337E-01,2.000E-03
5.57377E-01,1.600E-03
5.57417E-01,8.000E-04
5.57457E-01,1.200E-03
5.57497E-01,1.600E-03
5.57537E-01,1.200E-03
5.57577E-01,8.000E-04
5.57617E-01,1.200E-03
5.57657E-01,8.000E-04
5.57697E-01,1.200E-03
5.57737E-01,1.200E-03
5.57777E-01,8.000E-04
5.57817E-01,1.600E-03
5.57857E-01,8.000E-04
5.57897E-01,8.000E-04
5.57937E-01,8.000E-04
5.57977E-01,1.200E-03
5.58017E-01,1.200E-03
5.58057E-01,1.200E-03
5.58097E-01,1.200E-03
5.58137E-01,1.200E-03
5.58177E-01,1.200E-03
5.58217E-01,8.000E-04
5.58257E-01,1.200E-03
5.58297E-01,1.600E-03
5.58337E-01,1.200E-03
5.58377E-01,8.000E-04
5.58417E-01,8.000E-04
5.58457E-01,1.200E-03
5.58497E-01,8.000E-04
5.58537E-01,1.200E-03
5.58577E-01,1.200E-03
5.58618E-01,8.000E-04
5.58658E-01,1.200E-03
5.58698E-01,1.200E-03
5.58738E-01,1.600E-03
5.58778E-01,1.200E-03
5.58818E-01,1.200E-03
5.58858E-01,1.600E-03
5.58898E-01,8.000E-04
5.58938E-01,4.000E-04
5.58978E-01,1.600E-03
5.59018E-01,8.000E-04
5.59058E-01,1.200E-03
5.59098E-01,8.000E-04
5.59138E-01,1.200E-03
5.59178E-01,4.000E-04
5.59218E-01,8.000E-04
5.59258E-01,1.200E-03
5.59298E-01,1.600E-03
5.59338E-01,8.000E-04
5.59378E-01,1.200E-03
5.59418E-01,1.600E-03
5.59458E-01,1.600E-03
5.59498E-01,1.200E-03
5.59538E-01,8.000E-04
5.59578E-01,4.000E-04
5.59618E-01,8.000E-04
5.59658E-01,1.200E-03
5.59698E-01,8.000E-04
5.59738E-01,1.200E-03
5.59778E-01,8.000E-04
5.59818E-01,8.000E-04
5.59858E-01,8.000E-04
5.59898E-01,8.000E-04
5.59938E-01,4.000E-04
5.59978E-01,4.000E-04
5.60018E-01,8.000E-04
5.60058E-01,8.000E-04
5.60098E-01,8.000E-04
5.60138E-01,8.000E-04
5.60178E-01,1.600E-03
5.60218E-01,1.200E-03
5.60258E-01,8.000E-04
5.60298E-01,4.000E-04
5.60338E-01,1.200E-03
5.60378E-01,4.000E-04
5.60418E-01,8.000E-04
5.60458E-01,4.000E-04
5.60498E-01,8.000E-04
5.60538E-01,8.000E-04
5.60578E-01,4.000E-04
5.60619E-01,8.000E-04
5.60659E-01,4.000E-04
5.60699E-01,8.000E-04
5.60739E-01,1.200E-03
