[s],CH1[V]
6.63057E-01,-2.000E-03
6.63097E-01,-1.600E-03
6.63137E-01,-2.400E-03
6.63177E-01,-1.200E-03
6.63217E-01,-1.600E-03
6.63257E-01,-1.600E-03
6.63297E-01,-1.600E-03
6.63337E-01,-1.600E-03
6.63377E-01,-2.000E-03
6.63417E-01,-1.600E-03
6.63457E-01,-2.400E-03
6.63497E-01,-2.000E-03
6.63537E-01,-2.400E-03
6.63577E-01,-1.600E-03
6.63617E-01,-2.000E-03
6.63657E-01,-1.600E-03
6.63697E-01,-1.600E-03
6.63737E-01,-2.400E-03
6.63777E-01,-1.600E-03
6.63817E-01,-2.000E-03
6.63857E-01,-1.600E-03
6.63897E-01,-1.600E-03
6.63937E-01,-2.000E-03
6.63977E-01,-1.200E-03
6.64017E-01,-2.000E-03
6.64057E-01,-2.800E-03
